"Country","Action Area","Data Source","2015"
"Armenia","Drink-driving policies and countermeasures","","Changes in drink-driving regulations."
"Azerbaijan","Leadership, awareness and commitment","link","The Azerbaijan National Strategy for the Prevention and Control Of NCDs 2015–2020 was approved by the President of Azerbaijan in December 2015. The Strategy includes objectives related to implementing efficient and equity-based interventions in order to reduce the main modifiable risk factors for NCDs: tobacco use, harmful use of alcohol, unhealthy diet and physical inactivity. The Action Plan has a separate component related to alcohol (9.2.1.2 - Reducing harmful use of alcohol). The specific activating include to revise and update the legislation with special emphasis on the following: restricting the access of children to retailed alcohol; ensuring the enforcement of restrictions and bans on alcohol advertising; ensuring the enforcement of the ban on drink-driving; raising taxes on alcohol; updating a price/sale policy on alcohol; and conducting educational events at educational institutions about the negative impact of alcohol on health."
"Belarus","Availability of alcohol","link","Decree of the President of the Republic of Belarus of 20.02.2015 N 92 ""On amendments and additions to the Decree of the President of the Republic of Belarus."" Additional requirements have been set to applicants for a license to carry out wholesale trade and storage of alcoholic beverages."
"Belgium","Drink-driving policies and countermeasures","link","On 1 January 2015, the legal definition of recidivist offences was adapted (the reoccurrence of any type of severe infraction (listed in the traffic law) within a period of three years). Before 2015, only a reoccurrence of the same type of offence was legally considered as recidivism. At the same time, the sanctions for recidivist offences were toughened (including mandatory psychological and medical tests, as well as theoretical and practical driving exams)."
"Belgium","Drink-driving policies and countermeasures","link","Artikel 34§3 Wegverkeerswet/ Article 34§3 du code de la route [Article 34§3 Road traffic law]]. On 1 January 2015, the legal alcohol limit for professional drivers was set to 0.2 g/l (while maintaining a limit of 0.5 g/l for general population drivers)."
"Belgium","Drink-driving policies and countermeasures","link","Belgian Road Safety Institute (BRSI) publication in the journal Accident Analysis and Prevention investigating the impact of social norms and alcohol checks on driving under the influence of alcohol."
"Bosnia and Herzegovina","Community and workplace action","","Involvement of alcohol prevention in PHI training of family teams."
"Bosnia and Herzegovina","Availability of alcohol","link","The Law on Public Peace and Order (Official Gazette of Republic of Srpska).  Includes a ban on the sale and use of alcoholic beverages in public places; and a ban on the consumption of alcoholic beverages by persons under age 18 and on the selling and serving of alcoholic beverages to persons under 18 in restaurants and cafes in the Republic of Srpska."
"Bosnia and Herzegovina","Pricing policies","","Increase in the excise taxes on alcohol."
"Croatia","Leadership, awareness and commitment","","The national campaign “Turn on your conscience - sometimes you need to say NO to children” was initiated by members of the Croatian Chamber of Commerce Association of beer malt and hop producers, in collaboration with the Ministry of Health. The campaign calls for the consistent implementation of the law banning the consumption of alcohol by and sale of alcoholic beverages to persons under 18 years"
"Cyprus","Leadership, awareness and commitment","link","Cyprus Anti-Drugs Council provides funding for national prevention programmes for the reduction of alcohol-related harm"
"Cyprus","Availability of alcohol","","The Cyprus Anti-Drugs Council has introduced revisions to the existing legislation for the Sales of Alcoholic Beverages. These include modifications specific to the legal age for consumption and accessibility of alcohol (raising of legal age from 17 to 18) and the introduction of measures and stricter penalties for sellers to minimize underage consumption, and reinforce responsible sales/serving practices. The revisions suggested have been approved by the Ministry of Interior and the revised legislation is expected to be discussed at the parliament level in 2016 or early 2017."
"Cyprus","Reducing the negative consequences of drinking and alcohol intoxication","link","Issuing of national guidelines on responsible selling and serving of alcohol"
"Czechia","Leadership, awareness and commitment","","Launch of the National Action Plan Against the Harmful Effects of Alcohol"
"Denmark","Health services' response","","The Danish Parliament adopted a law, which strengthened the supervision of public and private alcohol treatment centres."
"Denmark","Health services' response","link","Satspuljeaftale [rate adjustment pool agreement] 2016-2019. A political agreement with regard to strengthened efforts to address substance use and substance use disorders in pregnancy"
"Denmark","Health services' response","link","L 44  Forslag til lov om ændring af sundhedsloven og lov om socialtilsyn [Bill amending the Health Act and the Act on Social Supervision]. To improve the quality of alcohol treatment, this bill establishes a supervision system for alcohol treatment sites."
"Denmark","Health services' response","link","Publication of national clinical guidelines concerning the treatment of alcohol abuse."
"Denmark","Health services' response","link","Publication of national clinical guidelines for screening and treatment of alcohol dependence and mental health."
"Denmark","Drink-driving policies and countermeasures","link","In April 2015, alcohol ignition interlocks were introduced as a penalty for drink-driving offenses"
"Estonia","Health services' response","","A major programme for improving the quality and availability of treatment and counseling ""Sober and healthy Estonia"" was launched."
"Finland","Leadership, awareness and commitment","link","Laki ehkäisevän päihdetyön järjestämsiestä, No. 523/2015 [Act on organizing alcohol, tobacco, drugs and gambling prevention]. The Act gave a legal basis to the regional coordination structure established in 2011 and to the national lead role of the Institute for Health and Welfare. The Act established common standards for the multi-actor work organized at the local level by municipalities."
"Finland","Leadership, awareness and commitment","link","Ehkäisevän päihdetyön toimintaohjelma. Alkoholi-, huume- ja rahapelihaittojen sekä tupakoinnin vähentäminen. Sosiaali- ja terveysministeriö, 2015 [Action Plan to prevent harms from alcohol, tobacco, drugs and gambling. Ministry of Social Affairs and Health, 2015]. The action plan, which runs from 2016-2025, builds on the preceding national alcohol programme and integrates prevention activities across substances/addictions."
"Finland","Leadership, awareness and commitment","link","The campaign “Lasten seurassa” [“In the company of children”] has been run since 2009 as a central part of the alcohol retail monopoly’s responsibility activities. The latest video clip, “The orphanage”, launched in 2015, highlights the theme “children don’t get to choose”."
"Finland","Health services' response","link","Alkoholiongelmaisen käypä hoito. [Current care for alcohol use disorders]. Guidelines for screening, brief intervention and treatment of alcohol use disorders are provided in the current care guidelines of the Finnish Medical Society, Duodecim, updated in 2015"
"France","Leadership, awareness and commitment","link","Loi n° 2016-41 du 26 janvier 2016 de modernisation de notre système [The law No. 2016-41 of 26 January 2016 to modernize our health system] includes alcohol measures."
"France","Drink-driving policies and countermeasures","link","Décret n° 2015-743 du 24 juin 2015 relatif à la lutte contre l'insécurité routière [Decree n°2015-743 of 24th of June 2015 concerning policy against road insecurity]. The decree lowers the maximum permitted blood alcohol concentration (BAC) limit from 0.5 g/litre to 0.2 g/litre for novice drivers."
"Georgia","Leadership, awareness and commitment","link","New legislation/scheme for better enforcement of existing alcohol legislation."
"Germany","Leadership, awareness and commitment","link","Adoption of the Health Target “Alkoholkonsum reduzieren“ (“Reduce alcohol consumption”) and its citation in the “Präventionsgesetz, PrävG” (“Prevention Law”), adopted in 2015, as one of eight Health Targets"
