"Country","Action Area","2011"
"Afghanistan","","No data"
"Bahrain","","No data"
"Djibouti","","No milestones reported"
"Egypt","","No milestones reported"
"Iran (Islamic Republic of)","Health services' response","Ratified a comprehensive plan on prevention, treatment and reduction of alcohol intoxication (2011-2015) in the Ministry of Health and Medical Education (MoHME)."
"Iraq","","No data"
"Jordan","","No data"
"Kuwait","","No data"
"Lebanon","","No milestones reported"
"Libya","","No data"
"Morocco","Health services' response","Approved agreements with the Mohammed V Foundation for Solidarity to foster the establishment of institutions of addictology in problematic sites."
"Oman","Leadership, awareness and commitment","Mass media campaigns."
"Pakistan","","No milestones reported"
"Qatar","","No milestones reported"
"Saudi Arabia","","No data"
"Somalia","","No data"
"Sudan","","No data"
"Syrian Arab Republic","","No data"
"Tunisia","","No milestones reported"
"United Arab Emirates","","No data"
"Yemen","","No data"
