"Country","Action Area","2015"
"Afghanistan","","No data"
"Bahrain","","No data"
"Djibouti","","No milestones reported"
"Egypt","Monitoring and surveillance","Commenced the MED SPAD study to survey alcohol and drugs among adolesents."
"Iran (Islamic Republic of)","","No milestones reported"
"Iraq","","No data"
"Jordan","","No data"
"Kuwait","","No data"
"Lebanon","","No milestones reported"
"Libya","","No data"
"Morocco","Reducing the negative consequences of drinking and alcohol intoxication","Applied the judicial authority for the enactment of the provisions of the 1974 Dahir (decree) relating to the prevention of drug-trafficking."
"Oman","Leadership, awareness and commitment","Created the National Strategy Against Alcohol and Psychoactive Substances 2016-2020."
"Pakistan","","No milestones reported"
"Qatar","","No milestones reported"
"Saudi Arabia","","No data"
"Somalia","","No data"
"Sudan","","No data"
"Syrian Arab Republic","","No data"
"Tunisia","Drink-driving policies and countermeasures","Implemented major changes in the laws and regulations governing drunk driving."
"United Arab Emirates","","No data"
"Yemen","","No data"
