"Country","Action Area","2016"
"Afghanistan","Community and workplace action","Implemented the mhGAP Intervention Guide in 3 provinces."
"Bahrain","","No data"
"Djibouti","","Regulations in place on the importation and places of sale."
"Egypt","","No milestones reported"
"Iran (Islamic Republic of)","","No milestones reported"
"Iraq","Leadership, awareness and commitment","Revised and launched a new alcohol strategy and action plan."
"Iraq","Health services' response","Revised training on alcohol use and alcohol use disorders for health professionals."
"Iraq","Monitoring and surveillance","Made major changes in the monitoring system."
"Jordan","","No milestones reported"
"Kuwait","","No data"
"Lebanon","Leadership, awareness and commitment","Developed an inter-ministerial substance use response strategy 2016-2021 and action plan, with alcohol among the substances covered."
"Libya","","No data"
"Morocco","Leadership, awareness and commitment","Planned a the national strategy to combat addictions in the 4th quarter of 2016, with the support of the Global Fund."
"Morocco","Monitoring and surveillance","Commenced standardization of the current national information system. In particular, the national addictions programme is currently working on the standardization and computerization of materials relating to the management of addictions in specialized structures, as well as management protocols (an ongoing project , with the support of the Global Fund and the Catalan Agency of Public Health)."
"Oman","Monitoring and surveillance","Improved the surveillance system for alcohol and other psychoactive substances."
"Pakistan","","No milestones reported"
"Qatar","","No data"
"Saudi Arabia","","No data"
"Somalia","","No milestones reported"
"Sudan","Leadership, awareness and commitment","Currently there is no policy implemented on alcohol abuse but it is included in a plan for 2017. The policy will be developed at the national level."
"Syrian Arab Republic","Health services' response","Trained non-specialist health professionals at PHC to diagnose and treat alcohol-related problems, and community workers on how to provide basic support and refer problem drinkers to specialists."
"Tunisia","","No data"
"United Arab Emirates","","No data"
"Yemen","","No milestones reported"
