"Country","Action Area","2014"
"Afghanistan","","No data"
"Bahrain","","No data"
"Djibouti","","No milestones reported"
"Egypt","Monitoring and surveillance","Established the National Drug Observatory. Released the final report of the national alcohol and drug survey. Introduced a new national alcohol and drug survey."
"Iran (Islamic Republic of)","Health services' response","Integrated screening and brief intervention services for all substances including alcohol in health system."
"Iraq","","No data"
"Jordan","","No data"
"Kuwait","","No data"
"Lebanon","","No milestones reported"
"Libya","","No data"
"Morocco","Monitoring and surveillance","Published the annual report of the National Observatory of Drugs and Addictions with dissemination of the updated data."
"Oman","Drink-driving policies and countermeasures","Updated laws regarding road and traffic."
"Pakistan","","No milestones reported"
"Qatar","","No milestones reported"
"Saudi Arabia","","No data"
"Somalia","","No data"
"Sudan","","No data"
"Syrian Arab Republic","","No data"
"Tunisia","Health services' response","Revised alcohol-related training for health professionals."
"United Arab Emirates","","No data"
"Yemen","","No data"
