"Country","Action Area","2016"
"Australia","","No milestones reported"
"Brunei Darussalam","","No data"
"Cambodia","Leadership, awareness and commitment","Submitted the Draft Law on Alcohol Products Control to the Council of the Ministers for approval."
"Cambodia","Marketing of alcoholic beverages","The Ministry of Information regulated to ban advertisement of alcohol on prime time television, from 6-8 pm."
"Cambodia","Pricing policies","Increased the excise tax on alcohol products from 25% to 30%."
"China","","No milestones reported"
"Cook Islands","","No data"
"Fiji","","No data"
"Japan","Leadership, awareness and commitment","Developed and released a National Action Plan."
"Japan","Reducing the negative consequences of drinking and alcohol intoxication","Revised a Basic Plan for the Promotion of Measures Against Alcohol-related Health Harm."
"Kiribati","Community and workplace action","Created alcohol-free communities."
"Lao People's Democratic Republic","Leadership, awareness and commitment","Held advocacy event and workshop for policy makers, students and  public on the harmful use of alcohol."
"Lao People's Democratic Republic","Health services' response","Passed law both on national and subnational levels for health and non-health sectors."
"Malaysia","Leadership, awareness and commitment","Created new legislation and a scheme for the better enforcement of existing alcohol legislation as well as the 	publication of a major report on alcohol. Made changes in excise duties of alcohol, together with 	major changes in licensing systemsand age limits to restrict the availability of alcohol. Issued national guidelines on community action, prevention, screening and brief interventions treatment and  training on alcohol use disorders for health professionals. Offered public funding for a nationwide action project on alcohol."
"Marshall Islands","Leadership, awareness and commitment","A 1994 act prohibits and controls the sale, use, consumption and production or possession of alcoholic beverages and provides statutory authority for municipalities to administer the prohibition and control of alcoholic beverages."
"Micronesia","","No data"
"Mongolia","Health services' response","Commenced editing the law on alcohol abuse, the law on the forced treatment of alcoholism, and the law on recovery centers."
"Nauru","","No data"
"New Zealand","Leadership, awareness and commitment","Lauched a Fetal Alcohol Spectrum Disorder (FASD) Action Plan in August 2016."
"Niue","","No data"
"Palau","","No data"
"Papua New Guinea","","No data"
"Philippines","Leadership, awareness and commitment","Drafted 2017-2025 strategic plan on Lifestyle Related Diseases addressing the risk factors incluing alcohol  Commission on Higher Education, Department of Labor and Employment and Civil Service Commission issued guidelines on restricting alcohol use in schools, workplace and communities. 	Approval of the Administrative Order # 0039-2016 dated Oct 28, 2016 of the Revised Operational Framework for a Comprehensive National Mental Health Program where alcohol is include Included advocacy on alcohol and rehabilitation of alcohol disorder by the Dangerous Drug Board. Developed a draft of guidelines on the Prevention and Control of Harmful Use of Alcohol."
"Philippines","Availability of alcohol","Presence of ordinances related to selling and serving alcohol in selected local government units."
"Philippines","Pricing policies","Increased the excise tax of alcohol as described in the Presidential Decree 10351."
"Philippines","Monitoring and surveillance","Released 2013 Food and Nutrition Research Institute results on NCDs."
"Republic of Korea","Availability of alcohol","Legal permission required for the delivery of alcoholic beverages. Restriction removed for telesales of traditional liquors."
"Republic of Korea","Marketing of alcoholic beverages","Strengthed policies on the content of warning labels on containers of alcoholic beverages."
"Samoa","","No data"
"Singapore","","No milestones reported"
"Solomon Islands","","No milestones reported"
"Tonga","","No data"
"Tuvalu","","No data"
"Vanuatu","Leadership, awareness and commitment","Revised and launched new alcohol strategy and action plan."
"Vanuatu","Community and workplace action","Issued national guidelines on community action, prevention, screening and brief interventions treatment."
"Vanuatu","Availability of alcohol","Undertook major changes in licensing systems, age limits etc. pertaining the availability of alcohol."
"Vanuatu","Pricing policies","Made changes in excise duties of alcohol."
"Viet Nam","","No milestones reported"
