"Country","Action Area","2011"
"Australia","Health services' response","Established a funding pool to support prevention of substance misuse and to promote service improvement within the drug and alcohol and related sectors."
"Australia","Marketing of alcoholic beverages","Government responded to the review of food labelling law and policy,  including alcohol labelling."
"Brunei Darussalam","","No data"
"Cambodia","Availability of alcohol","Banned the use, sale, promotion and advertisement of alcohol products in all educational facilities, including schools and universities."
"China","Leadership, awareness and commitment","Published core information for promoting a healthy lifestyle."
"China","Drink-driving policies and countermeasures","Added Chapter VII Article 91: Whomever drives a motor vehicle after drinking alcohol shall have imposed a penalty of temporary seizure of his motor vehicle driving license for not less than 1 month but not more than 3 months, and imposed a fine of not less than 200 Yuan but not more than 500 Yuan as well; whomever drives a motor vehicle when he is drunk shall be restricted by the traffic administrative department of the public security organ until he becomes sober, be detained for not more than 15 days, have imposed a penalty of temporary seizure of his motor vehicle driving license for not less than 3 months but not more than 6 months, and have imposed a fine of not less than 500 Yuan but not more than 2000 Yuan as well."
"Cook Islands","","No data"
"Fiji","","No data"
"Japan","Drink-driving policies and countermeasures","Made breath test compulsory before opening times in transport companies."
"Japan","Availability of alcohol","Installed touch panels beside cash registers to confirm the age of the purchaser of the liquor."
"Kiribati","","No data"
"Lao People's Democratic Republic","","No data"
"Malaysia","Monitoring and surveillance","Disseminated a population-based survey to determine the national prevalence of alcohol consumption."
"Marshall Islands","","No data"
"Micronesia","","No data"
"Mongolia","","No milestones reported"
"Nauru","","No data"
"New Zealand","Leadership, awareness and commitment","Health Promotion Agency established (a new Crown entity with functions that include alcohol)."
"New Zealand","Drink-driving policies and countermeasures","Reduced the drink driving legal alcohol limits for drivers aged under 20 to zero."
"New Zealand","Marketing of alcoholic beverages","Australia New Zealand Forum on Food Regulation agreed that warning labels about the risks of consuming alcohol while pregnant should be pursued, but that the industry be given the opportunity to introduce appropriate labelling on a voluntary basis."
"New Zealand","Reducing the negative consequences of drinking and alcohol intoxication","Investment package of NZ$10million per year announced by the Government to reduce harm from alcohol and drug abuse. The funding is designed to assist thousands of people with alcohol and drug-related issues, and is funded from alcohol excise revenue."
"Niue","","No data"
"Palau","","No data"
"Papua New Guinea","","No data"
"Philippines","","No milestones reported"
"Republic of Korea","Leadership, awareness and commitment","Updated national alcohol action plan developed in 2006. The Bluebird Plan 2020 describes vision, objectives, and activities the government should implement to reduce harms associated with alcohol use by the year of 2020. However, the plan failed to secure parliamentary endorsement and enough financial resources to implement in full."
"Samoa","","No data"
"Singapore","","No milestones reported"
"Solomon Islands","Monitoring and surveillance","GSHS conducted."
"Tonga","","No milestones reported"
"Tuvalu","","No data"
"Vanuatu","","No data"
"Viet Nam","","No milestones reported"
