"Country","Action Area","2010"
"Australia","Leadership, awareness and commitment","Increased funding for the National Binge Drinking Strategy."
"Australia","Reducing the negative consequences of drinking and alcohol intoxication","Created a programmme supporting young people affected by underage drinking who have been intercepted by police. The aim is to offer appropriate assistance through partnerships between the police and health services. This diversionary measure is aimed to facilitate youth to get ""back on track"" before more serious alcohol-related problems emerge."
"Brunei Darussalam","","No data"
"Cambodia","","No milestones reported"
"China","Monitoring and surveillance","Commenced surveillance of behavioral risk factors."
"Cook Islands","","No data"
"Fiji","","No data"
"Japan","Health services' response","Alcohol Dependence Treatment Programme formulated by the Correctional Bureau for prisoners with alcohol problems."
"Japan","Drink-driving policies and countermeasures","Programme developed by the Correctional Bureau for drunk drivers and has begun to implement it in penal institutions since September 2010."
"Kiribati","","No data"
"Lao People's Democratic Republic","","No data"
"Malaysia","Leadership, awareness and commitment","Created a Healthy Lifestyle Campaign including 'live healthy without alcohol'."
"Malaysia","Health services' response","Issued a training module on awareness for alcohol-related harms for healthcare workers."
"Marshall Islands","","No data"
"Micronesia","","No data"
"Mongolia","","No milestones reported"
"Nauru","","No data"
"New Zealand","Monitoring and surveillance","Report issued by the Law Commission entitled 'Alcohol in our lives: Curbing the harm ""A report of the review of the regulatory framework for the sale and supply of liquor""'. Released the findings of the 2007/08 New Zealand Alcohol and Drug Use Survey."
"Niue","","No data"
"Palau","","No data"
"Papua New Guinea","","No data"
"Philippines","","No milestones reported"
"Republic of Korea","","No milestones reported"
"Samoa","","No data"
"Singapore","Availability of alcohol","Increased flexibility for travellers purchasing duty free alcohol."
"Solomon Islands","Leadership, awareness and commitment","Drafted the National Alcohol Strategy and Action Plan."
"Tonga","Drink-driving policies and countermeasures","Enforced better restrictive control of driving under the influence of alcohol."
"Tonga","Availability of alcohol","Enforced better restrictive control of availability of alcohol."
"Tuvalu","","No data"
"Vanuatu","","No data"
"Viet Nam","","No milestones reported"
