"Country","Action Area","2016"
"Algeria","","No data"
"Angola","Leadership, awareness and commitment","The Ministry of Health developed what is outlined in its mental health programme involving other sectors such as the National Direction of Traffic and Transit, the National Institute of Consumer Protection and the National Institute of Drugs on developing healthy lifestyle habits."
"Benin","Leadership, awareness and commitment","Organized work on NCDs risk factors with WHO countries and the WHO region of Africa to boost the implementation of the NCDs action plan."
"Botswana","Health services' response","Provided public funding to  non-profit organizations to provide rehabilitation services and infotainment. Provided training of the ICCE curricula to addiction professionals."
"Burkina Faso","","No data"
"Burundi","Leadership, awareness and commitment","Revised and released a new strategy and action plan concerning alcohol."
"Cameroon","Availability of alcohol","Required  compliance with  standards for the production of whiskey (ban on the production of whiskey in sachets)."
"Central African Republic","","No data"
"Chad","Community and workplace action","Since 2015, trained 100 young people and teachers as educational pairs in schools. Revised an integrated action plan for combating alcohol, tobacco and drugs."
"Chad","Drink-driving policies and countermeasures","Changed sanctions for drinking and driving."
"Comoros","","No milestones reported"
"Congo","","No milestones reported"
"Côte d'Ivoire","","No milestones reported"
"Cabo Verde","Leadership, awareness and commitment","Created the Strategic Plan for 2016-2020. Established an interministerial body for coordination in the organization chart of the Ministry of Health and Social Security.  Launched a national campaign under the initiative of the President of the Republic: www.menosalcoolmaisvida.cv   Created a new policy on production and taxation for local production of alcohol."
"Democratic Republic of the Congo","","No milestones reported"
"Equatorial Guinea","","No milestones reported"
"Eritrea","","No data"
"Ethiopia","Availability of alcohol","Developed directives to prevent the purchase of alcoholic beverages by children and adolescents under 18 years."
"Ethiopia","Monitoring and surveillance","Put in place a monitoring system to prevent under-age drinking."
"Gabon","","No milestones reported."
"Ghana","Leadership, awareness and commitment","Finalised a National Alcohol Policy with input from stakeholders during stakeholder meetings and a National Stakeholders' Conference."
"Guinea","","No milestones reported"
"Guinea-Bissau","","No milestones reported"
"Kenya","Leadership, awareness and commitment","Created new legislation to better implement existing alcohol policies."
"Lesotho","Leadership, awareness and commitment","Introduced a draft for an alcohol policy to the public and stakeholders."
"Liberia","","No data"
"Madagascar","","No milestones reported"
"Malawi","Leadership, awareness and commitment","Finalized and submitted alcohol policy to Cabinet for awaited approval."
"Malawi","Availability of alcohol","Government banned the production and selling of alcohol sachets."
"Mali","Monitoring and surveillance","Carried out the 'Only the Steps' survey which took into account the question of alcohol."
"Mauritania","","No data"
"Mauritius","Health services' response","Introduced training for health professionals on alcohol-use disorders and implemented the ASSIST program in primary health care settings."
"Mauritius","Pricing policies","Increased the excise duty on alcohol."
"Mozambique","Leadership, awareness and commitment","Action plan against alcohol drafted by the Department of Mental Health."
"Namibia","","No milestones reported"
"Niger","","No milestones reported"
"Nigeria","","No data"
"Rwanda","Leadership, awareness and commitment","Introduced the Cross-Government Working Group (established Inter-ministerial Committee Responsible for Fighting Against Illicit Use of Narcotic Drugs, Psychotropic Substances and Precursors) and prevention and treatment systems by the Prime Minister. Simultaneously launched and evaluated a long-term nationwide information campaign to reduce alcohol-related harm (alcohol use prevention is part of the national outreach programme against drug use)."
"Rwanda","Monitoring and surveillance","Published a major report on alcohol (Rwanda National Police: quarterly report on alcohol crime)."
"Sao Tome and Principe","","No milestones reported"
"Senegal","Availability of alcohol","Prohibited the sale of alcohol in sachets (financially more accessible for youth)."
"Senegal","Pricing policies","Taxes on tobacco and alcohol revised and increased by 10%."
"Seychelles","Leadership, awareness and commitment","Increased media campaigns for the awareness of the dangers of alcohol use."
"Seychelles","Drink-driving policies and countermeasures","Established a Road Safety Advisory Committee and advocated a lower BAC level (changing from 0.08 to 0.05)."
"Seychelles","Availability of alcohol","Recommended limiting the number of licences given to local manufactures of alcohol. Provided more training for professionals working in alcohol."
"Sierra Leone","Marketing of alcoholic beverages","Developed and dissminated IC materials. Established an Alliance between CSOs and NGOs with a membership of 28 Organizations (SLAPA - Sierra Leone Alcohol Policy Alliance)"
"Sierra Leone","Pricing policies","Introduced an excise on alcohol products."
"South Africa","","No milestones reported"
"South Sudan","Pricing policies","Proposed raise of duty tax on alcohol from 50% to 100% during the 2016/17 fiscal year on behalf of the Ministry of Finance and Economic Planning."
"Eswatini","","No data"
"Togo","Health services' response","Another pool will be formed in August and September 2016 on '' UTC '' support in Benin."
"Uganda","Leadership, awareness and commitment","Started to develop a national alcohol control policy. Organized several consulting meetings through the Uganda Alcohol Policy Alliance, a civil society organization in Uganda."
"United Republic of Tanzania","Leadership, awareness and commitment","Introduced a draft alcohol policy guideline and a road safety campaign."
"Zambia","Leadership, awareness and commitment","Conducted a final stakeholder consulting meeting and submitted a final draft of National Alcohol Policy to Cabinet Office for finalisation and approval."
"Zimbabwe","Leadership, awareness and commitment","Reviewed the National Alcohol Policy draft and linked it to Gender-Based Violence Policy and HIV Policy to ensure they are harmonised."
