"Country","Action Area","2014"
"Algeria","","No data"
"Angola","","No milestones reported"
"Benin","","No milestones reported"
"Botswana","Drink-driving policies and countermeasures","Published names of drunken drivers."
"Botswana","Pricing policies","Increased the alcohol levy."
"Burkina Faso","","No data"
"Burundi","","No milestones reported"
"Cameroon","","No milestones reported"
"Central African Republic","","No data"
"Chad","","No milestones reported"
"Comoros","","No milestones reported"
"Congo","","No milestones reported"
"Côte d'Ivoire","","No milestones reported"
"Cabo Verde","","No milestones reported"
"Democratic Republic of the Congo","","No milestones reported"
"Equatorial Guinea","","No milestones reported"
"Eritrea","","No data"
"Ethiopia","","No milestones reported"
"Gabon","","No milestones reported."
"Ghana","Leadership, awareness and commitment","Aligned alcohol policy with WHO guidelines."
"Guinea","","No milestones reported"
"Guinea-Bissau","","No milestones reported"
"Kenya","","No milestones reported"
"Lesotho","","No data"
"Liberia","","No data"
"Madagascar","Pricing policies","Increased excise duty."
"Malawi","","No milestones reported"
"Mali","","No milestones reported"
"Mauritania","","No data"
"Mauritius","","No milestones reported"
"Mozambique","Availability of alcohol","Approved the Regulation on Control of the Production, Marketing and Consumption of Alcoholic Beverages."
"Mozambique","Marketing of alcoholic beverages","Approved of the Regulation on Control of the Production, Marketing and Consumption of Alcoholic Beverages."
"Namibia","","No data"
"Niger","","No data"
"Nigeria","","No data"
"Rwanda","","No milestones reported"
"Sao Tome and Principe","","No milestones reported"
"Senegal","","No milestones reported"
"Seychelles","Leadership, awareness and commitment","Held first Alcohol Awareness Month and first Dry Month."
"Sierra Leone","","No data"
"South Africa","Leadership, awareness and commitment","Held a treatment symposium."
"South Africa","Marketing of alcoholic beverages","Continuing to revise health messages on alcohol containers [D of Health, 24/8/14 --to come into force after 18 months)."
"South Sudan","Leadership, awareness and commitment","Held an Anti-Substance Abuse symposium."
"Eswatini","","No data"
"Togo","","No milestones reported"
"Uganda","Monitoring and surveillance","Published a report of the Uganda 2014 WHO STEPS survey."
"United Republic of Tanzania","","No milestones reported"
"Zambia","","No milestones reported"
"Zimbabwe","","No milestones reported"
