"Country","Action Area","2010"
"Algeria","","No data"
"Angola","","No milestones reported"
"Benin","","No milestones reported"
"Botswana","Leadership, awareness and commitment","Created a Ministry of Health campaign office."
"Burkina Faso","","No data"
"Burundi","","No milestones reported"
"Cameroon","Pricing policies","Increased taxation on alcoholic beverages as a result of the inflation."
"Central African Republic","","No data"
"Chad","","No milestones reported"
"Comoros","","No milestones reported"
"Congo","","No milestones reported"
"Côte d'Ivoire","","No milestones reported"
"Cabo Verde","","No milestones reported"
"Democratic Republic of the Congo","","No milestones reported"
"Equatorial Guinea","","No milestones reported"
"Eritrea","","No data"
"Ethiopia","","No milestones reported"
"Gabon","","No milestones reported."
"Ghana","","No milestones reported."
"Guinea","","No milestones reported"
"Guinea-Bissau","","No milestones reported"
"Kenya","Leadership, awareness and commitment","Launched the Alcoholic Drinks Control Act 2010."
"Lesotho","","No data"
"Liberia","","No data"
"Madagascar","Leadership, awareness and commitment","Created the Committee to Fight Alcoholism."
"Malawi","","No milestones reported"
"Mali","","No milestones reported"
"Mauritania","","No data"
"Mauritius","","No milestones reported"
"Mozambique","","No milestones reported"
"Namibia","","No data"
"Niger","","No data"
"Nigeria","","No data"
"Rwanda","","No milestones reported"
"Sao Tome and Principe","","No milestones reported"
"Senegal","","No milestones reported"
"Seychelles","","No milestones reported"
"Sierra Leone","","No data"
"South Africa","","No milestones reported"
"South Sudan","","No milestones reported"
"Eswatini","","No data"
"Togo","","No milestones reported"
"Uganda","","No milestones reported"
"United Republic of Tanzania","Leadership, awareness and commitment","Implemented a national alcohol policy."
"Zambia","","No milestones reported"
"Zimbabwe","Leadership, awareness and commitment","Created a third and fourth draft of the National Alcohol Control Policy."
