"Country","Action Area","2013"
"Algeria","","No data"
"Angola","","No milestones reported"
"Benin","Leadership, awareness and commitment","Elaborated an integrative national plan to fight against NCDs, taking into account the harmful use of alcohol."
"Botswana","Drink-driving policies and countermeasures","Reduced the allowed limits of alcohol consumption for drivers."
"Botswana","Availability of alcohol","Alcohol banned by governmental tertiary institutions in their areas."
"Botswana","Pricing policies","Increased the alcohol levy."
"Burkina Faso","","No data"
"Burundi","","No milestones reported"
"Cameroon","Pricing policies","Established the Sub-Directorate for the Control of NCDs."
"Central African Republic","","No data"
"Chad","","No milestones reported"
"Comoros","","No milestones reported"
"Congo","","No milestones reported"
"Côte d'Ivoire","","No milestones reported"
"Cabo Verde","","No milestones reported"
"Democratic Republic of the Congo","","No milestones reported"
"Equatorial Guinea","","No milestones reported"
"Eritrea","","No data"
"Ethiopia","","No milestones reported"
"Gabon","","No milestones reported."
"Ghana","","No milestones reported"
"Guinea","","No milestones reported"
"Guinea-Bissau","","No milestones reported"
"Kenya","","No milestones reported"
"Lesotho","","No data"
"Liberia","","No data"
"Madagascar","Pricing policies","Increased excise duty."
"Malawi","","No milestones reported"
"Mali","","No milestones reported"
"Mauritania","","No data"
"Mauritius","","No milestones reported"
"Mozambique","","No milestones reported"
"Namibia","","No data"
"Niger","","No data"
"Nigeria","","No data"
"Rwanda","","No milestones reported"
"Sao Tome and Principe","","No milestones reported"
"Senegal","","No milestones reported"
"Seychelles","Leadership, awareness and commitment","Implemented sensitization programmes in schools and work places about the harmful use of alcohol, alongside intense media campaigning."
"Seychelles","Availability of alcohol","Adopted Statutory Instruments regulating the permitted hours of alcohol sale."
"Sierra Leone","","No data"
"South Africa","Leadership, awareness and commitment","Established the Central Drug Authority, adopted the National Drug Master Plan 2013 - 2017, and promulgated the Prevention of and Treatment for Substance Abuse Act No. 70 of 2008."
"South Sudan","Leadership, awareness and commitment","Established the Central Drug Authority. Adopted a National Drug Master Plan 2013 - 2017. Promulgated the Prevention of and Treatment for Substance Abuse Act No. 70 of 2008."
"Eswatini","","No data"
"Togo","","No milestones reported"
"Uganda","","No milestones reported"
"United Republic of Tanzania","","No milestones reported"
"Zambia","","No milestones reported"
"Zimbabwe","","No milestones reported"
