"Country","Action Area","2012"
"Algeria","","No data"
"Angola","","No milestones reported"
"Benin","Leadership, awareness and commitment","Formed a multisectorial committee fighting against NCDs and the harmful use of alcohol. Increased involvement of ministries and state institutions working on NCD risk factors and harmful use of alcohol."
"Benin","Pricing policies","Increased taxation and prices of alcoholic beverages."
"Botswana","Community and workplace action","Introduced a volunteer programme."
"Botswana","Drink-driving policies and countermeasures","Introduced Booze Buses programme to increase the random breath testing of drivers."
"Botswana","Pricing policies","Increased alcohol levy."
"Botswana","Reducing the public health impact of illicit alcohol and informally produced alcohol","Introduced Traditional Beer Regulations to control and reduce illicit brews."
"Botswana","Monitoring and surveillance","Alcohol levy showed a reduction in the recorded consumption of alcohol."
"Burkina Faso","","No data"
"Burundi","","No milestones reported"
"Cameroon","","No milestones reported"
"Central African Republic","","No data"
"Chad","","No milestones reported"
"Comoros","","No milestones reported"
"Congo","","No milestones reported"
"Côte d'Ivoire","","No milestones reported"
"Cabo Verde","","No milestones reported"
"Democratic Republic of the Congo","","No milestones reported"
"Equatorial Guinea","","No milestones reported"
"Eritrea","","No data"
"Ethiopia","","No milestones reported"
"Gabon","","No milestones reported."
"Ghana","","No milestones reported"
"Guinea","","No milestones reported"
"Guinea-Bissau","","No milestones reported"
"Kenya","","No milestones reported"
"Lesotho","","No data"
"Liberia","","No data"
"Madagascar","Pricing policies","Increased excise duty."
"Malawi","","No milestones reported"
"Mali","","No milestones reported"
"Mauritania","","No data"
"Mauritius","","No milestones reported"
"Mozambique","","No milestones reported"
"Namibia","","No data"
"Niger","","No data"
"Nigeria","","No data"
"Rwanda","","No milestones reported"
"Sao Tome and Principe","","No milestones reported"
"Senegal","","No milestones reported"
"Seychelles","","No milestones reported"
"Sierra Leone","","No data"
"South Africa","Leadership, awareness and commitment","Established the Inter-Ministerial Committee on fighting against the harmful use of alcohol and drugs."
"South Africa","Health services' response","Integrated a Screening and Brief Intervention in the Training Manual of Primary Health Care(PC101)."
"South Sudan","Leadership, awareness and commitment","Established the Inter-Ministerial Committee on Fighting Against Alcohol and Drugs."
"South Sudan","Health services' response","Included Integrated Screening and Brief Intervention in the Training Manual of Primary Health Care(PC101)."
"Eswatini","","No data"
"Togo","Health services' response","Trained a pool of Health Personnel in the treatment of addictions (Treatnet) since 2012 by the ONUDC."
"Uganda","","No milestones reported"
"United Republic of Tanzania","","No milestones reported"
"Zambia","","No milestones reported"
"Zimbabwe","Leadership, awareness and commitment","Created an action plan for implementation of the National Alcohol Control Policy."
