"Country","Action Area","2015"
"Bangladesh","Leadership, awareness and commitment","Created a multisectoral action plan for control and prevention of NCDs (2016-2021)."
"Bhutan","","No data"
"Democratic People's Republic of Korea","","No data"
"India","Reducing the negative consequences of drinking and alcohol intoxication","Created a scheme of Assistance for Prevention of Alcoholism and Substance (Drugs) Abuse and Social Defence Services, 2015."
"Indonesia","","No milestones reported"
"Maldives","","No data"
"Myanmar","","No miletones reported"
"Nepal","","No data"
"Sri Lanka","","No data"
"Thailand","Availability of alcohol","Notification from the Office of the Prime Minister on Determination of place or area of alcoholic beverage sale on train B.E. 2558 ."
"Thailand","Marketing of alcoholic beverages","Notification from the Alcoholic Beverages Control, Regarding Rule, Procedure and Condition for Labels of Alcoholic Beverages."
"Timor-Leste","","No data"
