"Country","Action Area","2012"
"Bangladesh","","No milestones reported"
"Bhutan","","No data"
"Democratic People's Republic of Korea","","No data"
"India","Leadership, awareness and commitment","Created a target of 5% reduction in the consumption of alcohol by 2020 and a 10% reduction 2025 for NCD prevention and control in India by The Ministry of Health and Family Welfare."
"India","Drink-driving policies and countermeasures","Union Cabinet approved proposed changes to the Motor Vehicle Act. As per new provisions, drunk driving is dealt with higher penalty and jail terms: fines ranging from 2,000 to 10,000 and imprisonment from 6 months to 4 years."
"India","Reducing the negative consequences of drinking and alcohol intoxication","Enforced the Punjab Excise Act which prohibits establishments to employ women where liquor or intoxicating drugs are consumed by the public."
"Indonesia","","No milestones reported"
"Maldives","","No data"
"Myanmar","","No miletones reported"
"Nepal","","No data"
"Sri Lanka","Leadership, awareness and commitment","Initiated the process of developing an alcohol policy."
"Thailand","Availability of alcohol","Notification from the Office of the Prime Minister on sales or consume alcoholic beverage in factory operation area."
"Timor-Leste","","No data"
