"Country","Action Area","2011"
"Bangladesh","Health services' response","Integrated mental health services with primary health care."
"Bhutan","","No data"
"Democratic People's Republic of Korea","","No data"
"India","Leadership, awareness and commitment","Published the report 'Alcohol-Related Harm: Implications for public health and policy in India, 2011'."
"Indonesia","","No milestones reported"
"Maldives","","No data"
"Myanmar","","No miletones reported"
"Nepal","","No data"
"Sri Lanka","","No data"
"Thailand","Monitoring and surveillance","Developed community surveillance and investigated complaints of violations of Alcoholic Beverage Control."
"Timor-Leste","","No data"
