"Country","Action Area","2016"
"Bahamas","Leadership, awareness and commitment","Revision/launch of a new alcohol strategy/action plan, parliamentary commission/cross-government working group/national advisory group for alcohol."
"Brazil","Leadership, awareness and commitment","New legislation for better regulation (Law No. 13,106/2015; which amends Law No. 8,069, of July 13, 1990 - Child and Adolescent Statute) to make it a crime to sell, supply, serve, administer or deliver alcohol to a child. Law No. 13.281 of 4 May 2016 (which amends Law No. 9,503 of 23 September 1997 ""Brazilian Traffic Code"" Art. 165-A): Refusal to undergo a test, clinical examination, skill or other procedure that allows to certify influence of alcohol or other psychoactive substance, in the form established by art. 277: infraction - very serious; penalty - fine (ten times) and suspension of the right to drive for 12 months."
"Canada","Leadership, awareness and commitment","Report released by Chief Public Health Officer for Canada entitled 'The Chief Public Health Officer's Report on the State of Public Health in Canada, 2015: Alcohol Consumption in Canada'. The Alberta Gaming and Liquor Commission (AGLC) launched '""Thanks Alcohol"" (2015) and ""Enjoy Responsibly"" (2016)- campaigns to promote Canada's Low-Risk Drinking Guidelines and to bring awareness to the dangers of over-consumption/binge drinking."
"Canada","Availability of alcohol","The Province of Saskatchewan implemented mandatory server training. The Province of Ontario announced the expansion of alcohol sales to grocery stores and online services."
"Canada","Marketing of alcoholic beverages","AGLC (Alberta Gaming and Liquor Commission) launched DrinkSense which will be AGLC's ongoing umbrella brand (and associated website) for all AGLC Social Responsibility messages moving forward."
"Chile","Leadership, awareness and commitment","Reviewed the strategy and formulation of the Action Plan 2017-2020, which includes the creation of an officially established and permanent interministerial committee for the coordination and monitoring of the action plan."
"Colombia","Leadership, awareness and commitment","Formulated the intersectoral National Alcohol Plan 2017 - 2021, for the National and World Strategy."
"Colombia","Health services' response","Established an integral health care model, which develops a care system for people with mental and behavioral disorders due to the use of licit and illicit psychoactive substances."
"Colombia","Pricing policies","A tax reform for liquors is in legislative process."
"Costa Rica","Marketing of alcoholic beverages","Vote of the Judicial Power of the Constitutional Chamber of Costa Rica prohibited the use of national symbols in the advertising of alcoholic beverages and removed voting privileges from representatives of the industry and  advertising agencies in the commission which regulates the subject."
"Cuba","Leadership, awareness and commitment","Launched a national long-term information campaign to reduce the harmful effects of alcohol consumption."
"Cuba","Health services' response","Reviewed training for health professionals regarding alcohol consumption and associated disorders."
"Cuba","Community and workplace action","Issued revised national guidelines on community action, and on prevention, screening and brief interventions"
"Dominica","","No data"
"Dominican Republic","Leadership, awareness and commitment","Integrated ministries, decentralized ministries and institutions of the state into a working group called the Cluster on Alcohol and Drugs."
"Dominican Republic","Community and workplace action","Signed an agreement between the Ministry of Health and the Alcoholic Beverages Industry to promote the responsible consumption of alcohol in the population"
"Dominican Republic","Reducing the negative consequences of drinking and alcohol intoxication","Signed an agreement between the Ministry of Health and the Alcoholic Beverages Industry to promote the responsible consumption of alcohol in the population"
